name,dogFriendly,groceryStores,neighborsFriendly,parkingEasy,yard,communityEvents,sidewalks,walkNight,fiveYears,kidsOutside,car,restaurants,streets,holiday,quiet,wildlife
neighborhood5363,0.49,0.08,0.17,0.74,0.51,0.25,0.75,0.59,0.31,0.74,0.02,0.93,0.15,0.81,0.23,0.99
neighborhood5364,0.83,0.05,0.98,0.64,0.61,0.75,0.91,0.29,0.94,0.35,0.64,0.15,0.26,0.53,0.50,0.54
neighborhood5365,0.62,0.88,0.91,0.31,0.76,0.13,0.84,0.15,0.32,0.05,0.22,0.60,0.98,0.49,0.39,0.93
neighborhood5366,0.12,0.83,0.14,0.10,0.38,0.59,0.98,0.75,0.26,0.46,0.38,0.53,0.48,0.50,0.39,0.96
neighborhood5367,0.02,0.96,0.83,0.67,0.04,0.66,0.27,0.29,0.74,0.01,0.48,0.91,0.23,0.95,0.92,0.93
neighborhood5368,0.92,0.72,0.38,0.91,0.35,0.45,0.29,0.65,0.63,0.76,0.39,0.75,0.50,0.93,0.90,0.85
neighborhood5369,0.82,0.26,0.73,0.08,0.62,0.82,0.85,0.83,0.67,0.60,0.86,0.59,0.25,0.33,0.75,0.34
neighborhood5370,0.02,0.96,0.59,0.04,0.05,0.35,0.68,0.54,0.64,0.39,0.95,0.19,0.62,0.57,0.21,1.00
neighborhood5371,0.10,0.08,0.68,0.85,0.31,0.65,0.73,0.39,0.56,0.82,0.65,0.51,0.74,0.51,0.04,0.15
neighborhood5372,0.52,0.16,0.45,0.82,0.27,0.29,0.80,0.93,0.40,0.54,0.81,0.13,0.01,0.35,0.55,0.69
neighborhood5373,0.26,0.92,0.70,0.21,0.52,0.51,0.69,0.59,0.98,0.33,0.10,0.95,0.54,0.33,0.71,0.31
neighborhood5374,0.18,0.03,0.83,0.42,0.14,0.04,0.32,0.14,0.15,0.59,0.86,0.90,0.13,0.13,0.02,0.07
neighborhood5375,0.48,0.99,0.07,0.38,0.06,0.79,0.14,0.07,0.24,0.98,0.57,0.68,0.76,0.56,0.65,0.83
neighborhood5376,0.90,0.75,0.34,0.46,0.70,0.00,0.70,0.72,0.73,0.88,0.02,0.17,0.76,0.39,0.68,0.80
neighborhood5377,0.10,0.67,0.66,0.57,0.27,0.50,0.83,0.37,0.28,0.83,0.35,0.87,0.03,0.60,0.57,0.39
neighborhood5378,0.17,0.94,0.68,0.43,0.97,0.54,0.86,0.01,0.36,0.63,0.62,0.91,0.75,0.52,0.29,0.69
neighborhood5379,0.93,0.83,0.92,0.31,0.56,0.56,0.42,0.45,0.51,0.94,0.94,0.43,0.92,0.16,0.85,0.00
neighborhood5380,0.68,0.31,0.66,0.50,0.15,0.01,0.61,0.04,0.16,0.91,0.09,0.51,0.89,0.19,0.82,0.18
neighborhood5381,0.35,0.58,0.84,0.21,0.40,0.52,0.17,0.81,0.25,0.24,0.90,0.23,0.34,0.87,0.71,0.33
neighborhood5382,0.04,0.53,0.19,0.78,0.70,0.02,0.35,0.42,0.22,0.96,0.40,0.14,0.42,0.03,0.43,0.03
neighborhood5383,0.11,0.91,0.80,0.12,0.16,0.70,0.51,0.39,0.06,0.78,0.17,0.14,0.08,0.79,0.18,0.90
neighborhood5384,0.28,0.29,0.02,0.54,0.31,0.79,0.94,0.05,0.70,0.77,0.32,0.59,0.15,0.99,0.20,0.93
neighborhood5385,0.96,0.89,0.11,0.66,0.02,0.10,0.36,0.92,0.06,0.49,0.53,0.97,0.43,0.02,0.52,0.95
neighborhood5386,0.37,0.91,0.21,0.46,0.77,0.82,0.94,0.36,0.17,0.43,0.31,0.28,0.12,0.62,0.57,0.70
neighborhood5387,0.78,0.84,0.04,0.06,0.87,0.16,0.58,0.51,0.48,0.11,0.25,0.26,0.26,0.32,0.12,0.27
neighborhood5388,0.10,0.42,0.44,0.23,0.78,0.98,0.64,0.91,0.23,0.09,0.87,0.05,0.97,0.11,0.38,0.09
neighborhood5389,0.63,0.65,0.26,0.83,0.54,0.38,0.69,0.73,0.24,0.97,0.76,0.33,0.05,0.26,0.22,0.84
neighborhood5390,0.28,0.42,0.49,0.62,0.63,0.64,0.45,0.50,0.86,0.93,0.13,0.16,0.75,0.70,0.29,0.96
neighborhood5391,0.28,0.35,0.22,0.71,0.38,0.13,0.98,0.64,0.41,0.19,0.78,0.92,0.76,0.81,0.96,0.89
neighborhood5392,0.13,0.70,0.51,1.00,0.81,0.90,0.26,0.08,0.88,0.84,0.99,0.63,0.90,0.81,0.18,0.04
neighborhood5393,0.87,0.39,0.74,0.06,0.70,0.39,0.90,0.25,0.35,0.32,0.56,0.88,0.80,0.74,0.97,0.87
neighborhood5394,0.74,0.84,0.64,0.17,0.69,0.52,0.27,0.55,0.01,0.48,0.32,0.16,0.45,0.04,0.33,0.10
neighborhood5395,0.99,0.18,0.28,0.87,0.71,0.26,0.63,0.25,0.49,0.62,0.93,0.86,0.24,0.88,0.90,0.61
neighborhood5396,0.67,0.61,0.75,0.86,0.10,0.77,0.94,0.95,0.20,0.27,0.35,0.86,0.09,0.06,0.02,0.22
neighborhood5397,0.69,0.13,0.47,0.38,0.65,0.15,0.01,0.95,0.12,0.87,0.39,0.84,0.39,0.26,0.71,0.02
neighborhood5398,0.04,0.25,0.89,0.42,0.47,0.05,0.63,0.07,0.78,0.85,0.60,0.85,0.48,0.86,0.88,0.85
neighborhood5399,0.17,0.05,0.64,0.11,0.43,0.20,0.08,0.79,0.93,0.57,0.90,0.48,0.98,0.75,0.46,0.02
neighborhood5400,0.17,0.44,0.03,0.16,0.84,0.35,0.01,0.41,0.73,0.50,0.86,0.04,0.58,0.01,0.07,0.93
neighborhood5401,0.76,0.73,0.14,0.95,0.42,0.28,0.72,0.81,0.98,0.54,0.68,0.19,0.26,0.94,0.64,0.98
neighborhood5402,0.09,0.90,0.52,0.94,0.72,0.76,0.86,0.74,0.71,0.82,0.02,0.39,0.99,0.76,0.81,0.11
neighborhood5403,0.06,0.22,0.35,0.32,0.62,0.11,0.16,0.68,0.19,0.36,0.60,0.88,0.58,0.89,0.64,0.61
neighborhood5404,0.38,0.77,0.39,0.55,0.77,0.71,0.48,0.18,0.36,0.69,0.81,0.85,0.36,0.55,0.10,0.65
neighborhood5405,0.62,0.59,0.27,0.02,0.19,0.19,0.75,0.36,0.94,0.31,0.85,0.47,0.05,0.88,0.87,0.96
neighborhood5406,0.06,0.79,0.40,0.90,0.33,0.43,0.30,0.59,0.96,0.51,0.53,0.82,0.88,0.53,0.46,0.09
neighborhood5407,0.22,0.11,0.19,0.89,0.25,0.97,0.50,0.19,0.24,0.67,0.87,0.21,0.94,0.46,0.22,0.30
neighborhood5408,0.17,0.11,0.26,0.74,0.21,0.09,0.34,0.94,0.10,0.87,0.43,0.53,0.71,0.04,0.16,0.39
neighborhood5409,0.45,0.51,0.44,0.78,0.63,0.30,0.35,0.51,0.83,0.78,0.19,0.20,0.88,0.79,0.63,0.71
neighborhood5410,0.45,0.43,0.94,0.83,0.98,0.30,0.16,0.95,0.53,0.37,0.40,0.90,0.40,0.97,0.61,0.73
neighborhood5411,0.45,0.91,0.76,0.98,0.11,0.45,0.66,0.59,0.58,0.01,0.24,0.21,0.43,0.60,0.58,0.65
neighborhood5412,0.31,0.05,0.59,0.00,0.02,0.32,0.15,0.93,0.90,0.76,0.75,0.24,0.08,0.25,0.96,0.14
neighborhood5413,0.88,0.92,0.14,0.50,0.23,0.92,0.30,0.28,0.33,0.93,0.90,0.65,0.41,0.51,0.21,0.51
neighborhood5414,0.94,0.97,0.67,0.88,0.63,0.26,0.23,0.74,0.80,0.64,0.18,0.08,0.56,0.99,0.09,0.39
neighborhood5415,0.37,0.84,0.63,0.43,0.06,0.70,0.27,0.21,0.57,0.26,0.19,0.26,0.47,0.46,0.22,0.74
neighborhood5416,0.24,0.75,0.79,0.31,0.11,0.74,0.25,0.15,0.92,0.84,0.72,0.49,0.28,0.61,0.06,0.20
neighborhood5417,0.38,0.53,0.71,0.04,0.38,0.06,0.70,1.00,0.13,0.09,0.46,0.40,0.76,0.24,0.88,0.31
neighborhood5418,0.11,0.92,1.00,0.03,0.38,0.46,0.03,0.21,0.83,0.32,0.91,0.99,0.36,0.86,0.39,0.63
neighborhood5419,0.89,0.12,0.24,0.35,0.01,0.71,0.25,0.02,0.61,0.66,0.93,0.64,0.40,0.75,0.48,0.30
neighborhood5420,0.66,0.11,0.74,0.20,0.33,0.09,0.81,0.81,0.99,0.16,0.62,0.61,0.09,0.21,0.53,0.98
neighborhood5421,0.34,0.44,0.06,0.12,0.95,0.01,0.13,0.44,0.72,0.83,0.37,0.52,0.59,0.16,0.60,0.62
neighborhood5422,0.12,0.65,0.74,0.88,0.39,0.88,0.60,0.72,0.74,0.23,0.30,0.02,0.15,0.59,0.97,0.39
neighborhood5423,0.61,0.25,0.15,0.17,0.61,0.99,0.35,0.51,0.62,0.35,0.61,0.12,0.50,0.82,0.13,0.71
neighborhood5424,0.90,0.07,0.04,0.18,0.63,0.47,0.64,0.89,0.55,0.29,0.41,0.29,0.16,0.10,0.55,0.07
neighborhood5425,0.13,0.59,0.41,0.71,0.73,0.24,0.18,0.53,0.60,0.87,0.55,0.18,0.28,0.97,0.92,0.04
neighborhood5426,0.87,0.74,0.33,0.68,0.05,0.91,0.15,0.33,0.55,0.90,0.17,0.25,0.62,0.08,0.53,0.33
neighborhood5427,0.43,0.35,0.68,0.95,0.12,0.38,0.12,0.67,0.39,0.87,0.59,0.29,0.94,0.07,0.31,0.36
neighborhood5428,0.41,0.32,0.45,0.44,0.41,0.46,0.67,0.55,0.86,0.81,0.99,0.24,0.95,0.88,0.75,0.22
neighborhood5429,0.99,0.52,0.09,0.78,0.45,0.43,0.89,0.68,0.68,1.00,0.44,0.61,0.34,0.33,0.01,0.08
neighborhood5430,0.18,0.13,0.48,0.35,0.24,0.71,0.12,0.97,0.21,0.65,0.20,0.18,0.74,0.01,0.44,0.60
neighborhood5431,0.89,0.47,0.95,0.41,0.42,0.78,0.88,0.64,0.99,0.36,0.69,0.58,0.20,0.30,0.80,0.31
neighborhood5432,0.48,0.23,0.44,0.29,0.24,0.45,0.04,0.30,0.96,0.60,0.10,0.08,0.94,0.21,0.59,0.08
neighborhood5433,0.99,0.61,0.47,0.84,0.22,0.11,0.53,0.43,0.74,0.90,0.41,0.98,0.08,0.13,0.73,0.99
neighborhood5434,0.30,0.63,0.74,0.78,0.21,0.23,0.96,0.30,0.34,0.39,0.09,0.88,0.51,0.68,0.73,0.21
neighborhood5435,0.55,0.37,0.69,0.79,0.60,0.79,0.51,0.22,0.23,0.53,0.35,0.40,0.08,0.46,0.97,0.89
neighborhood5436,0.39,0.01,0.89,0.65,0.83,0.86,0.98,0.89,0.83,0.15,0.53,0.47,0.86,0.95,0.04,0.81
neighborhood5437,0.79,0.75,0.30,0.77,0.61,0.56,0.26,0.64,0.23,0.83,0.33,0.31,0.68,0.70,0.83,0.67
neighborhood5438,0.98,0.88,0.89,0.40,0.53,0.10,0.40,0.96,0.55,0.78,0.03,0.58,0.74,0.26,0.72,0.48
neighborhood5439,0.83,0.21,0.71,0.39,0.21,0.87,0.64,0.57,0.54,0.36,0.78,0.40,0.88,0.56,0.48,0.34
neighborhood5440,0.41,0.33,0.98,0.26,0.34,0.73,0.49,0.21,0.52,0.50,0.12,0.23,0.63,0.73,0.21,0.11
neighborhood5441,0.17,0.42,0.93,0.10,0.86,0.79,0.45,0.99,0.25,0.92,0.83,0.49,0.59,0.48,0.31,0.63
neighborhood5442,0.15,1.00,0.02,0.59,0.08,0.02,0.29,0.36,0.05,0.88,0.52,0.98,0.41,0.27,0.38,0.35
neighborhood5443,0.04,0.09,0.14,0.66,0.19,0.69,0.79,0.27,0.03,0.12,0.52,0.83,0.27,0.20,0.54,0.11
neighborhood5444,0.34,0.04,0.32,0.64,0.49,0.36,0.43,0.39,0.65,0.34,0.62,0.84,0.23,0.33,0.99,0.73
neighborhood5445,0.70,0.00,0.92,0.89,0.38,0.93,0.50,0.04,0.92,0.91,0.20,0.09,0.19,0.99,0.85,0.57
neighborhood5446,0.36,0.93,0.19,0.68,0.96,0.87,0.49,0.24,0.12,0.76,0.88,0.48,0.58,0.59,0.96,0.69
neighborhood5447,0.22,0.61,0.25,0.07,0.07,0.12,0.37,0.62,0.82,0.38,0.27,0.54,0.54,0.82,0.70,0.09
neighborhood5448,0.01,0.87,0.45,0.27,0.08,0.52,0.76,0.40,0.40,0.61,0.28,0.17,0.37,0.15,0.62,0.63
neighborhood5449,0.19,0.87,0.38,0.15,0.66,0.05,0.57,0.57,0.43,0.94,0.64,0.21,0.21,0.02,0.37,0.77
neighborhood5450,0.36,0.46,0.31,0.94,0.61,0.11,0.86,0.21,0.22,0.54,0.52,0.20,0.99,0.53,0.59,0.48
neighborhood5451,0.46,0.32,0.26,0.24,0.85,0.03,0.39,0.74,0.54,0.91,0.10,0.74,0.34,0.54,0.39,0.66
neighborhood5452,0.96,0.72,0.99,0.78,0.89,0.97,0.94,0.89,0.85,0.66,0.66,0.30,0.37,0.49,0.16,0.15
neighborhood5453,0.90,0.78,0.68,0.58,0.01,0.73,0.23,0.23,0.99,0.95,0.40,0.54,0.89,0.97,0.55,0.80
neighborhood5454,0.44,0.97,0.41,0.10,0.43,0.69,0.05,0.31,0.15,0.54,0.49,0.05,0.88,0.55,0.68,0.94
neighborhood5455,0.54,0.92,0.94,0.67,0.09,0.00,0.65,0.31,0.66,0.23,0.18,0.01,0.97,0.76,0.29,0.08
neighborhood5456,0.14,0.63,0.46,0.77,0.78,0.33,0.97,0.79,0.22,0.41,0.19,0.57,0.64,0.46,0.48,0.59
neighborhood5457,0.98,0.40,0.04,0.86,0.16,0.81,0.31,0.95,0.03,0.35,0.08,0.97,0.02,0.42,0.72,0.60
neighborhood5458,0.27,0.67,0.20,0.44,0.38,0.43,0.42,0.39,0.30,0.27,0.54,0.74,0.26,0.81,0.63,0.38
neighborhood5459,0.81,0.05,0.27,0.23,0.53,0.40,0.68,0.52,0.82,0.55,0.31,0.28,0.12,0.32,0.71,0.49
neighborhood5460,0.01,0.35,0.65,0.96,0.85,0.16,0.32,0.16,0.52,0.12,0.54,0.66,0.91,0.12,0.79,0.01
neighborhood5461,0.43,0.15,0.38,0.24,0.96,0.35,0.40,0.94,0.35,0.85,0.52,0.06,0.92,0.79,0.52,0.61
neighborhood5462,0.20,0.16,0.34,1.00,0.11,0.34,0.36,0.08,0.72,0.42,0.93,0.22,0.17,0.98,0.11,0.10
neighborhood5463,0.34,0.66,0.52,0.98,0.57,0.61,0.44,0.90,0.26,0.88,0.69,0.16,0.60,0.60,0.21,0.98
neighborhood5464,0.65,0.72,0.03,0.17,0.79,0.06,0.83,0.21,0.45,0.46,0.31,0.20,0.15,0.66,0.42,0.12
neighborhood5465,0.41,0.42,0.45,0.33,0.61,0.87,0.45,0.59,0.19,0.80,0.52,0.78,0.98,0.57,0.76,0.13
neighborhood5466,0.06,0.01,0.54,0.32,0.59,0.73,0.45,0.69,0.25,0.91,0.93,0.40,0.76,0.21,0.35,0.88
neighborhood5467,0.94,0.09,0.16,0.44,0.45,0.85,0.62,0.43,0.48,0.38,0.56,0.53,0.36,0.44,0.61,0.19
neighborhood5468,0.75,0.59,0.92,0.92,0.34,0.91,0.26,0.26,0.78,0.41,0.80,0.83,0.81,0.39,1.00,0.74
neighborhood5469,0.73,0.01,0.01,0.10,0.90,0.13,0.56,0.61,0.86,0.54,0.76,0.72,0.35,0.65,0.49,0.51
neighborhood5470,0.71,0.76,0.19,0.15,0.86,0.72,0.63,0.27,0.28,0.38,0.94,0.05,0.96,0.33,0.06,0.93
neighborhood5471,0.56,0.77,0.83,0.75,0.11,0.59,0.06,0.52,0.77,0.92,0.44,0.83,0.94,0.22,0.03,0.50
neighborhood5472,0.87,0.81,0.04,0.02,0.57,0.26,0.96,0.05,0.08,0.75,0.56,0.38,0.15,0.90,0.06,0.17
neighborhood5473,0.04,0.82,0.90,0.19,0.18,0.64,0.89,0.10,0.44,0.70,0.64,0.29,0.54,0.93,0.16,0.06
neighborhood5474,0.90,0.26,0.59,0.80,0.11,1.00,0.32,0.63,0.23,0.10,0.29,0.13,0.50,0.94,0.95,0.29
neighborhood5475,0.57,0.76,0.14,0.48,0.57,0.82,0.98,0.82,0.41,0.89,0.48,0.63,0.43,0.33,0.88,0.30
neighborhood5476,0.41,0.77,0.57,0.29,0.37,0.78,0.24,0.67,0.08,0.67,0.74,0.70,1.00,0.51,0.64,0.12
neighborhood5477,0.86,0.13,0.75,0.82,0.81,0.10,0.43,0.79,0.27,0.64,0.29,0.01,0.57,0.36,0.03,0.44
neighborhood5478,0.91,0.78,0.88,0.05,0.47,0.93,0.13,0.73,0.80,0.55,0.97,0.64,0.94,0.83,0.09,0.91
neighborhood5479,0.19,0.36,0.38,0.55,0.41,0.05,0.11,0.71,0.76,0.36,0.12,0.78,0.78,0.38,0.45,0.90
neighborhood5480,0.86,0.62,0.29,0.23,0.23,0.07,0.66,0.44,0.26,0.17,0.29,0.11,0.67,0.49,0.33,0.12
neighborhood5481,0.71,0.94,0.02,0.04,0.45,0.44,0.01,0.30,0.81,0.07,0.62,0.11,0.78,0.20,0.50,0.25
neighborhood5482,0.81,0.47,0.88,0.23,0.84,0.69,0.82,0.52,0.04,0.89,0.97,0.03,0.60,0.43,0.40,0.67
neighborhood5483,0.23,0.80,0.52,0.18,0.14,0.50,0.20,0.42,0.12,0.33,0.47,0.29,0.78,0.34,0.26,0.92
neighborhood5484,0.65,0.75,0.50,0.03,0.63,0.19,0.77,0.08,0.04,0.22,0.84,0.34,0.11,0.91,0.68,0.73
neighborhood5485,0.98,0.71,0.75,0.41,0.41,0.82,0.04,0.26,0.05,0.50,0.42,0.98,0.54,0.50,0.63,0.86
neighborhood5486,0.81,0.02,0.83,0.28,0.48,0.26,0.28,0.18,0.46,0.48,0.44,0.73,0.74,0.09,0.55,0.93
neighborhood5487,0.62,0.77,0.32,0.46,0.39,0.31,0.74,0.85,0.74,0.92,0.38,0.45,0.63,0.98,0.66,0.04
neighborhood5488,0.75,0.02,0.43,0.20,0.19,0.62,0.36,0.46,0.59,0.32,0.43,0.36,0.71,0.69,0.33,0.89
neighborhood5489,0.21,0.15,0.79,0.83,0.36,0.96,0.41,0.07,0.83,0.67,0.56,0.47,0.28,0.37,0.13,0.67
neighborhood5490,0.69,0.68,0.62,0.67,0.30,0.23,0.57,0.60,0.40,0.42,0.13,0.64,0.34,0.05,0.90,0.25
neighborhood5491,0.03,0.65,0.19,0.32,0.51,0.00,0.71,0.11,0.95,0.79,0.68,0.34,0.79,0.31,0.19,0.62
neighborhood5492,0.58,0.66,0.40,0.74,0.92,0.39,0.81,0.78,0.07,0.56,0.86,0.04,0.15,0.99,0.62,0.30
neighborhood5493,0.25,0.17,0.63,0.99,0.79,0.50,0.95,0.85,0.80,0.93,0.10,0.29,0.47,0.78,0.35,0.72
neighborhood5494,0.96,0.58,0.08,0.17,0.43,0.51,0.25,0.46,0.58,0.38,0.28,0.57,0.90,0.68,0.84,0.49
neighborhood5495,0.32,0.28,0.30,0.90,0.29,0.53,0.20,0.14,0.78,0.43,0.16,0.06,0.57,0.85,0.97,0.01
neighborhood5496,0.23,0.82,0.11,0.35,0.48,0.90,0.95,0.33,0.74,0.29,0.83,0.67,0.41,0.90,0.01,0.26
neighborhood5497,0.37,0.17,0.39,0.49,0.27,0.22,0.88,0.05,0.02,0.56,0.31,0.92,0.02,0.90,0.36,0.39
neighborhood5498,0.45,0.01,0.55,0.91,0.86,0.56,0.51,0.19,0.34,0.40,0.29,0.47,0.17,0.40,0.09,0.44
neighborhood5499,0.84,0.24,0.72,0.19,0.56,0.99,0.98,0.46,0.65,0.21,0.88,0.72,0.89,0.77,0.93,0.52
neighborhood5500,0.91,0.36,0.40,0.66,0.74,0.83,0.14,0.88,0.77,0.62,0.93,0.37,0.60,0.31,0.23,0.58
neighborhood5501,0.65,0.67,0.33,0.44,0.33,0.83,0.79,1.00,0.92,0.75,0.57,0.11,0.60,0.31,0.50,0.46
neighborhood5502,0.83,0.72,0.56,0.40,0.65,0.89,0.49,0.89,0.52,0.83,0.94,0.79,0.77,0.36,0.76,0.84
neighborhood5503,0.03,0.33,0.07,0.47,0.88,0.51,0.47,0.81,0.50,0.03,0.16,0.07,0.07,0.35,0.68,0.34
neighborhood5504,0.93,0.23,0.21,0.00,0.41,0.88,0.71,0.94,0.07,0.14,0.69,0.99,0.84,0.36,0.25,0.16
neighborhood5505,0.16,0.87,0.77,0.72,0.91,0.89,0.08,0.71,0.71,0.39,0.64,0.54,0.18,0.69,0.68,0.13
neighborhood5506,0.09,0.83,0.70,0.12,0.49,0.13,0.23,0.40,0.50,0.64,0.98,0.61,0.35,0.94,0.68,0.16
neighborhood5507,0.51,0.53,0.30,0.29,0.22,0.36,0.07,0.44,0.37,0.89,0.27,0.02,0.74,0.85,0.61,0.54
neighborhood5508,0.96,0.59,0.49,0.79,0.73,0.73,0.90,0.03,0.90,0.90,0.85,0.61,0.74,0.90,0.86,0.11
neighborhood5509,0.60,0.61,0.37,0.04,0.45,0.38,0.80,0.52,0.34,0.20,0.82,0.95,0.95,0.93,0.29,0.12
neighborhood5510,0.98,0.94,0.37,0.04,0.65,0.77,0.65,0.51,0.12,0.96,0.55,0.00,0.61,0.30,0.82,0.48
neighborhood5511,0.70,0.59,0.68,0.26,0.63,0.05,0.01,0.69,0.72,0.19,0.40,0.41,0.74,0.71,0.81,0.88
neighborhood5512,0.04,0.37,0.95,0.37,0.27,0.18,0.47,0.25,0.27,0.33,0.21,0.17,0.59,0.09,0.42,0.13
neighborhood5513,0.56,0.86,0.30,0.42,0.93,0.40,0.78,0.23,0.06,0.01,0.32,0.51,0.04,0.62,0.18,0.29
neighborhood5514,0.66,0.05,0.01,0.49,0.25,0.90,0.55,0.72,0.49,0.19,0.26,0.89,0.31,0.65,0.38,0.13
neighborhood5515,0.45,0.74,0.79,0.51,0.50,0.26,0.37,0.99,0.53,0.10,0.09,0.90,0.73,0.65,0.58,0.51
neighborhood5516,0.00,0.10,0.32,0.06,0.49,0.81,0.63,0.27,0.72,0.58,0.26,0.76,0.28,0.42,0.58,0.13
neighborhood5517,0.14,0.43,0.16,0.71,0.83,0.28,0.48,0.67,0.54,0.29,0.76,0.63,0.55,0.10,0.28,0.79
neighborhood5518,0.52,0.03,0.30,0.51,0.82,0.64,0.78,0.21,0.64,0.01,0.85,0.61,0.20,0.13,0.34,0.97
neighborhood5519,0.31,0.33,0.49,0.91,0.58,0.06,0.14,0.95,0.66,0.63,0.52,0.89,0.76,0.04,0.63,0.35
neighborhood5520,0.59,0.53,0.34,0.62,0.88,0.59,0.45,0.63,0.31,0.92,0.16,0.15,0.10,0.49,0.48,0.15
neighborhood5521,0.94,0.86,0.42,0.03,0.60,0.73,0.61,0.91,0.44,0.75,0.55,0.83,0.11,0.38,0.34,0.15
neighborhood5522,0.45,0.67,0.70,0.24,0.88,0.37,0.60,0.67,0.82,0.73,0.78,0.58,0.27,0.36,0.34,0.14
neighborhood5523,0.85,0.63,0.80,0.74,0.96,0.33,0.99,0.36,0.10,0.05,0.69,0.54,0.47,0.73,0.11,0.37
neighborhood5524,0.69,0.81,0.85,0.45,0.49,0.34,0.19,0.55,0.50,0.07,0.70,0.34,0.98,0.34,0.55,0.12
neighborhood5525,0.86,0.22,0.04,0.05,0.79,0.76,0.22,0.37,0.33,0.09,0.43,0.53,0.48,0.07,0.08,0.36
neighborhood5526,0.61,0.40,0.57,0.45,0.83,0.29,0.01,0.30,0.16,0.31,0.13,0.28,0.18,0.83,0.71,0.90
neighborhood5527,0.98,0.15,0.09,0.33,0.55,0.06,0.26,0.12,0.71,0.64,0.27,0.53,0.16,0.38,0.16,0.41
neighborhood5528,0.43,0.10,0.01,0.20,0.49,0.07,0.84,0.13,0.80,0.68,0.53,0.47,0.00,0.84,0.79,0.04
neighborhood5529,0.37,0.36,0.94,0.15,0.55,0.04,0.37,0.37,0.55,0.78,0.82,0.15,0.61,0.88,0.54,0.96
neighborhood5530,0.13,0.87,0.62,0.75,0.27,0.38,0.17,0.79,0.78,0.23,0.90,0.38,0.11,0.73,0.03,0.25
neighborhood5531,0.64,0.00,0.16,0.01,0.11,0.88,0.67,0.17,0.51,0.19,0.21,0.72,0.48,0.05,0.51,0.85
neighborhood5532,0.90,0.84,0.26,0.76,0.25,0.71,0.38,0.17,0.21,0.37,0.10,0.52,0.16,0.93,0.76,0.97
neighborhood5533,0.26,0.06,0.62,0.36,0.26,0.72,0.53,0.79,0.12,0.77,0.10,0.58,0.74,0.48,0.03,0.73
neighborhood5534,0.55,0.27,0.77,0.92,0.12,0.03,0.54,0.39,0.02,0.96,0.27,0.60,0.11,0.46,0.26,0.01
neighborhood5535,0.95,0.52,0.04,0.90,0.32,0.07,0.45,0.88,0.57,0.27,0.33,0.71,0.49,0.79,0.53,0.85
neighborhood5536,1.00,0.88,0.56,0.87,0.14,0.95,0.39,0.46,0.54,0.55,0.33,0.13,0.70,0.31,0.67,0.49
neighborhood5537,0.40,0.52,0.05,0.98,0.25,0.40,0.99,0.50,0.89,0.98,0.47,0.97,0.63,0.51,0.40,0.02
neighborhood5538,0.71,0.88,0.89,0.46,0.23,0.59,0.78,0.40,0.79,0.78,0.46,0.75,0.04,0.82,0.59,0.41
neighborhood5539,0.52,0.28,0.83,0.11,0.44,0.04,0.44,0.48,0.93,0.08,0.67,0.99,0.47,0.70,0.64,0.01
neighborhood5540,0.93,0.11,0.94,0.22,0.36,0.05,0.38,0.36,0.35,0.89,0.05,0.53,0.91,0.90,0.77,0.32
neighborhood5541,0.16,0.47,0.32,0.22,0.03,0.81,0.46,0.62,0.28,0.13,0.23,0.66,0.61,0.57,0.01,0.41
neighborhood5542,0.90,0.49,0.87,0.07,0.94,0.15,0.90,0.70,0.32,0.52,0.40,0.84,0.56,0.01,0.75,0.32
neighborhood5543,0.92,0.98,0.72,0.18,0.76,0.95,0.96,0.24,0.54,0.24,0.66,0.98,0.28,0.96,0.21,0.49
neighborhood5544,0.76,0.74,1.00,0.65,0.50,0.63,0.24,0.58,0.25,0.53,0.58,0.76,0.36,0.85,0.02,0.62
neighborhood5545,0.82,0.17,0.89,0.68,0.58,0.17,0.27,0.46,0.34,0.24,0.95,0.45,0.41,0.12,0.92,0.75
neighborhood5546,0.27,1.00,0.34,0.40,0.76,0.08,0.69,0.43,0.46,0.19,0.05,0.20,0.22,0.39,0.50,0.72
neighborhood5547,0.55,0.77,0.16,0.70,0.97,0.41,0.44,0.38,0.82,0.78,0.25,0.59,0.10,0.23,0.28,0.49
neighborhood5548,0.70,0.57,0.66,0.65,0.88,0.35,0.65,0.64,0.64,0.46,0.99,0.59,0.42,0.99,0.20,0.24
neighborhood5549,0.93,0.98,0.94,0.68,0.88,0.42,0.52,0.27,1.00,0.05,0.20,0.80,0.52,0.93,0.76,0.55
neighborhood5550,0.07,0.33,0.94,0.49,0.40,0.13,0.11,0.13,0.25,0.20,0.21,0.22,0.65,0.43,0.91,0.25
neighborhood5551,0.37,0.74,0.65,0.10,0.62,0.51,0.98,0.41,0.25,0.42,0.83,0.81,0.51,0.92,0.70,0.43
neighborhood5552,0.14,0.51,0.35,0.25,0.47,0.30,0.41,0.17,0.18,0.11,0.46,0.94,0.12,0.98,0.42,0.75
neighborhood5553,0.16,0.89,0.72,0.47,0.11,0.98,0.15,0.93,0.37,0.45,0.37,0.04,0.50,0.44,0.64,0.18
neighborhood5554,0.12,0.17,0.24,0.95,0.13,0.69,0.82,0.50,0.05,0.01,0.68,0.82,0.22,0.87,0.47,0.11
neighborhood5555,0.56,0.36,0.55,0.74,0.08,0.30,0.53,0.05,0.71,0.75,0.01,0.59,0.56,0.80,0.59,0.44
